Pose/Time (ns),TEM-1/Ampicillin - PersScore 0.588 PoseScore 0.991,TEM-Ala237Arg/Ampicillin - PersScore 0.145 PoseScore 1.920
0,1.25E-08,1.25E-08
0.001,0.182045757,0.17509411
0.002,0.219596416,0.195160734
0.003,0.253459348,0.229384144
0.004,0.254831163,0.235663872
0.005,0.259203779,0.277252739
0.006,0.266820057,0.283707352
0.007,0.275566266,0.285064873
0.008,0.295769582,0.288591515
0.009,0.305560093,0.299998051
0.01,0.327665096,0.326547344
0.011,0.331805759,0.336003345
0.012,0.343618816,0.341714011
0.013,0.350075631,0.35163944
0.014,0.355010759,0.352817579
0.015,0.393236696,0.359116819
0.016,0.396850189,0.392991095
0.017,0.406207623,0.401184202
0.018,0.410958246,0.402012474
0.019,0.418394548,0.403271456
0.02,0.42925354,0.406421218
0.021,0.430291987,0.407174705
0.022,0.439428866,0.412060496
0.023,0.440512542,0.413095706
0.024,0.44174644,0.413637792
0.025,0.444432441,0.423788881
0.026,0.45840198,0.431001938
0.027,0.459178743,0.431506108
0.028,0.460311588,0.446072746
0.029,0.463590701,0.44741408
0.03,0.464350963,0.448396353
0.031,0.465723073,0.466625164
0.032,0.490996756,0.467765022
0.033,0.492139422,0.468450001
0.034,0.49336194,0.46928222
0.035,0.495807159,0.472948384
0.036,0.497050615,0.47625474
0.037,0.49783696,0.477019742
0.038,0.49851774,0.477500705
0.039,0.499454778,0.477561846
0.04,0.500005312,0.477810059
0.041,0.502847554,0.478145884
0.042,0.503806792,0.478626049
0.043,0.504841264,0.47979002
0.044,0.505619863,0.480420887
0.045,0.506561171,0.48083955
0.046,0.50746069,0.481553132
0.047,0.508268633,0.482137919
0.048,0.50925646,0.482645414
0.049,0.511098775,0.483329534
0.05,0.511729414,0.484055797
0.051,0.512227889,0.484565887
0.052,0.512936527,0.485167666
0.053,0.513744126,0.485968923
0.054,0.51454035,0.486681539
0.055,0.515619505,0.487285041
0.056,0.517490838,0.487951084
0.057,0.520592877,0.488730613
0.058,0.521009406,0.49263792
0.059,0.521955712,0.492874961
0.06,0.522614797,0.493622276
0.061,0.523159635,0.494438823
0.062,0.523487577,0.51103866
0.063,0.524332995,0.511676964
0.064,0.527433913,0.512382596
0.065,0.528192962,0.513289687
0.066,0.529232121,0.513961896
0.067,0.530427629,0.518036812
0.068,0.531189556,0.518706407
0.069,0.532040814,0.51956951
0.07,0.532817413,0.520042778
0.071,0.533500523,0.525042149
0.072,0.533996802,0.527930439
0.073,0.534828272,0.528498953
0.074,0.535037257,0.536540624
0.075,0.535861303,0.537127323
0.076,0.550465329,0.546746833
0.077,0.552118135,0.54752815
0.078,0.562300408,0.553073006
0.079,0.563226474,0.553702735
0.08,0.564029334,0.557858404
