Pose/Time (ns),TEM-1/Cefixime - PersScore 0.368 PoseScore 2.815,TEM-Ala237Arg/Cefixime - PersScore 0.450 PoseScore 1.639
0,1.29E-08,1.29E-08
0.001,0.177363456,0.208326648
0.002,0.223731148,0.231991757
0.003,0.257402091,0.257047294
0.004,0.261886153,0.278905237
0.005,0.28659399,0.296260536
0.006,0.309480741,0.299334543
0.007,0.310672733,0.301019214
0.008,0.338665071,0.307252283
0.009,0.351992613,0.309038736
0.01,0.370373774,0.311989965
0.011,0.379462901,0.322341638
0.012,0.386194206,0.325207293
0.013,0.387209901,0.326348776
0.014,0.388397567,0.328000739
0.015,0.403221521,0.333249439
0.016,0.409424245,0.336029231
0.017,0.429017723,0.343175626
0.018,0.432740614,0.344692362
0.019,0.433496403,0.346387293
0.02,0.439563968,0.352179126
0.021,0.44343313,0.36004274
0.022,0.451373771,0.361516393
0.023,0.460850845,0.378322806
0.024,0.462353759,0.379544889
0.025,0.463691731,0.383968077
0.026,0.470234129,0.395272202
0.027,0.471576629,0.396790434
0.028,0.473304451,0.404145444
0.029,0.477196323,0.408564944
0.03,0.478778588,0.409704676
0.031,0.480552129,0.41680136
0.032,0.482043014,0.418174553
0.033,0.485801404,0.419075031
0.034,0.486973831,0.420319536
0.035,0.488321946,0.423341269
0.036,0.494219405,0.424528866
0.037,0.500481407,0.427506566
0.038,0.501823236,0.431319899
0.039,0.512614872,0.439508798
0.04,0.513971903,0.445359201
0.041,0.528618879,0.464875674
0.042,0.53336511,0.473210873
0.043,0.534715123,0.480672162
0.044,0.535659842,0.481821584
0.045,0.536550596,0.482809815
0.046,0.537363357,0.483816457
0.047,0.53847782,0.484733511
0.048,0.539456372,0.485985844
0.049,0.540286759,0.486557539
0.05,0.540990286,0.487095025
0.051,0.541752273,0.487735047
0.052,0.542786425,0.488793193
0.053,0.54366981,0.489439669
0.054,0.546780133,0.493464158
0.055,0.547479065,0.494131969
0.056,0.548308385,0.4948382
0.057,0.549024775,0.495718291
0.058,0.55000711,0.496398906
0.059,0.55062393,0.497590741
0.06,0.555672725,0.502265432
0.061,0.556430133,0.504012964
0.062,0.561748692,0.504995437
0.063,0.564076804,0.505862327
0.064,0.564672729,0.508509008
0.065,0.565673505,0.509735127
0.066,0.566597843,0.51071066
0.067,0.571150063,0.51209987
0.068,0.571809769,0.512949711
0.069,0.572802519,0.513778873
0.07,0.573759365,0.514321269
0.071,0.57496115,0.515086848
0.072,0.575903109,0.516242552
