Frame,Time (ns),Hydrogen Bonds,Salt Bridge,Pi-Pi Stacking,Pi-Cation
1,0.0,5,4,0,0
2,0.2,8,4,0,0
3,0.4,8,3,0,0
4,0.6,6,3,0,0
5,0.8,7,3,0,0
6,1.0,5,2,0,0
7,1.2,5,4,1,0
8,1.4,5,3,0,0
9,1.6,5,3,0,1
10,1.8,6,3,0,0
11,2.0,7,3,0,0
12,2.2,7,3,0,0
13,2.4,7,3,0,0
14,2.6,7,3,0,1
15,2.8,8,2,0,0
16,3.0,5,2,0,0
17,3.2,7,2,0,0
18,3.4,5,2,0,0
19,3.6,4,2,0,0
20,3.8,5,2,0,0
21,4.0,4,2,0,0
22,4.2,6,2,0,0
23,4.4,4,3,0,0
24,4.6,5,2,0,0
25,4.8,5,2,0,0
26,5.0,5,3,0,0
27,5.2,5,2,0,0
28,5.4,5,2,0,0
29,5.6,4,3,0,0
30,5.8,5,3,0,0
31,6.0,4,3,0,0
32,6.2,5,2,0,0
33,6.4,7,2,0,0
34,6.6,8,3,0,0
35,6.8,9,3,0,0
36,7.0,9,3,0,0
37,7.2,8,3,0,0
38,7.4,8,2,0,0
39,7.6,8,2,0,0
40,7.8,7,2,0,0
41,8.0,7,2,0,0
42,8.2,6,2,1,0
43,8.4,7,2,0,0
44,8.6,7,2,0,0
45,8.8,5,2,0,0
46,9.0,5,2,0,0
47,9.2,6,2,0,0
48,9.4,7,2,0,0
49,9.6,7,2,0,0
50,9.8,5,2,1,0
51,10.0,7,2,0,0
