Frame,Time (ns),Hydrogen Bonds,Salt Bridge,Pi-Cation
1,0.0,2,1,0
2,0.2,4,1,0
3,0.4,4,1,0
4,0.6,3,1,0
5,0.8,4,1,0
6,1.0,3,1,0
7,1.2,3,1,0
8,1.4,3,1,0
9,1.6,3,1,1
10,1.8,4,1,0
11,2.0,4,1,0
12,2.2,4,1,0
13,2.4,4,1,0
14,2.6,4,1,1
15,2.8,4,1,0
16,3.0,2,1,0
17,3.2,2,1,0
18,3.4,2,1,0
19,3.6,1,1,0
20,3.8,3,1,0
21,4.0,1,1,0
22,4.2,3,1,0
23,4.4,1,1,0
24,4.6,2,1,0
25,4.8,2,1,0
26,5.0,2,1,0
27,5.2,2,1,0
28,5.4,2,1,0
29,5.6,2,1,0
30,5.8,2,1,0
31,6.0,1,1,0
32,6.2,2,1,0
33,6.4,3,1,0
34,6.6,4,1,0
35,6.8,4,1,0
36,7.0,4,1,0
37,7.2,4,1,0
38,7.4,4,1,0
39,7.6,4,1,0
40,7.8,3,1,0
41,8.0,3,1,0
42,8.2,2,1,0
43,8.4,3,1,0
44,8.6,3,1,0
45,8.8,1,1,0
46,9.0,2,1,0
47,9.2,2,1,0
48,9.4,4,1,0
49,9.6,4,1,0
50,9.8,3,1,0
51,10.0,3,1,0
