Pose/Time (ns),TEM-1/Ampicillin - PersScore 0.588 PoseScore 0.991,TEM-1/Cefixime - PersScore 0.368 PoseScore 2.815
0,1.25E-08,1.29E-08
0.001,0.182045757,0.177363456
0.002,0.219596416,0.223731148
0.003,0.253459348,0.257402091
0.004,0.254831163,0.261886153
0.005,0.259203779,0.28659399
0.006,0.266820057,0.309480741
0.007,0.275566266,0.310672733
0.008,0.295769582,0.338665071
0.009,0.305560093,0.351992613
0.01,0.327665096,0.370373774
0.011,0.331805759,0.379462901
0.012,0.343618816,0.386194206
0.013,0.350075631,0.387209901
0.014,0.355010759,0.388397567
0.015,0.393236696,0.403221521
0.016,0.396850189,0.409424245
0.017,0.406207623,0.429017723
0.018,0.410958246,0.432740614
0.019,0.418394548,0.433496403
0.02,0.42925354,0.439563968
0.021,0.430291987,0.44343313
0.022,0.439428866,0.451373771
0.023,0.440512542,0.460850845
0.024,0.44174644,0.462353759
0.025,0.444432441,0.463691731
0.026,0.45840198,0.470234129
0.027,0.459178743,0.471576629
0.028,0.460311588,0.473304451
0.029,0.463590701,0.477196323
0.03,0.464350963,0.478778588
0.031,0.465723073,0.480552129
0.032,0.490996756,0.482043014
0.033,0.492139422,0.485801404
0.034,0.49336194,0.486973831
0.035,0.495807159,0.488321946
0.036,0.497050615,0.494219405
0.037,0.49783696,0.500481407
0.038,0.49851774,0.501823236
0.039,0.499454778,0.512614872
0.04,0.500005312,0.513971903
0.041,0.502847554,0.528618879
0.042,0.503806792,0.53336511
0.043,0.504841264,0.534715123
0.044,0.505619863,0.535659842
0.045,0.506561171,0.536550596
0.046,0.50746069,0.537363357
0.047,0.508268633,0.53847782
0.048,0.50925646,0.539456372
0.049,0.511098775,0.540286759
0.05,0.511729414,0.540990286
0.051,0.512227889,0.541752273
0.052,0.512936527,0.542786425
0.053,0.513744126,0.54366981
0.054,0.51454035,0.546780133
0.055,0.515619505,0.547479065
0.056,0.517490838,0.548308385
0.057,0.520592877,0.549024775
0.058,0.521009406,0.55000711
0.059,0.521955712,0.55062393
0.06,0.522614797,0.555672725
0.061,0.523159635,0.556430133
0.062,0.523487577,0.561748692
0.063,0.524332995,0.564076804
0.064,0.527433913,0.564672729
0.065,0.528192962,0.565673505
0.066,0.529232121,0.566597843
0.067,0.530427629,0.571150063
0.068,0.531189556,0.571809769
0.069,0.532040814,0.572802519
0.07,0.532817413,0.573759365
0.071,0.533500523,0.57496115
0.072,0.533996802,0.575903109
0.073,0.534828272,0.576969457
0.074,0.535037257,0.579785972
0.075,0.535861303,0.582334673
0.076,0.550465329,0.583389449
0.077,0.552118135,0.584339321
0.078,0.562300408,0.585435653
0.079,0.563226474,0.586476036
0.08,0.564029334,0.587697888
0.081,0.56448423,0.588685625
0.082,0.565961157,0.595158042
